 ID,Description,total completed effort,Children
42510,[Requirement]<br>[AC]<br>[Installation Impact]<br>[Performance Impact]<br>[Test Type]<br>[Risk]<br>[Design]<br>[Integrated in Build]<br>[Validation Environment]<br>[Validation Result],54,42463,42464,42465,42466,42467,42517,42550,42552,42577,42591,42592,42599,43215,
42463,,8,
42464,<p>1. Work with xiao lei. integerate TFS API&nbsp;with AC test</p><p>2. Test result should be posted to TFS after daily test.</p><p>3. Add more information to test report (baseline. server. test machine ...)</p>,10,
42465,,1,
42466,<p>Naming convention: [Test suite name]_[baseline]_[Time stamp]</p>,1,
42467,,8,
42517,<p>how wait result show</p><p>task discussion</p><p>code check in</p>,4,
42550,,0,
42552,,4,
42577,,4,
42591,,4,
42592,,4,
42599,,6,
43215,,0,
